JOBNAME,DESCRIPTION,MACHINE NAME,COMMAND,JOB TYPE
marsyn_d_WPS8_5_INT_rsync-from-PRD-N2-PRF_N2,"Daily rsync from Websphere Portal855 Prod Internal Webserver (USFKL21WS87V) to DR Internal Webserver (USDFW22WS27V)",usfkl21ws87v,/opt/apps/scripts/DRScripts/WPS8.5_INT_rsync-from-prd-N2-prf.sh,CMD
magds_d_ToERPFinancials_Elite_USDFW11AS58V_PRD,"ToERPFinancials_push files to usdfw31as03",usdfw11as58v,"D:\iExpensesFeeds\ToERPFinancials\ToERPFinancials.bat",CMD
maelt_d_iexpenses_project_lists_usdfw11as58v,"Generate iExpenses Current Project Lists",usdfw11as58v,"D:\elite\custom\iExpenses\MakeiExpensesPrjList.cmd",CMD
medm_d_ta_to_bw_file_copy,"Transamerica Report | Receiving the OMNI to BW information manually to update BW - uses robocopy to move files from the DataMan workspace to the \"Q\" drive folder",usfkl11as20v,D\:\Autosys\batch\ta_to_bw_robocopy.bat,CMD
medm_prd_mm365_test_file,"MM365+ Report | move files from the DataMan workspace to the \"Q\" drive folder",usfkl11as20v,D\:\Autosys\batch\mm365_slb_cam_robocopy.bat,CMD
mabca_d_pcrsegmentupdate_as441v,"BCA segment updates from PCR-Production",usfkl21as441v,/web/tomcat_apps/prd/tcserver/3.2.4.SR1/USPD1BCA/x64/jvm/BCABATCH/segmentupdateWrapper.sh,CMD
mabca_d_bulkupload_as441v,"BCA segment updates from PCR-Production",usfkl21as441v,/web/tomcat_apps/prd/tcserver/3.2.4.SR1/USPD1BCA/x64/jvm/BCABULKUPLOADBATCH/BCABulkUpload/config/BulkUpload_wrapper.sh,CMD
pmdba_d_full_backup_oltp85_usurb21db08vcn2,"RMAN Online Hot Backup for oltp85",usurb21db08vcn2,/opt/oracle/scripts/wrappers/backup_oltp85_full.sh,CMD
pmdba_d_full_backup_oltp82_usurb21db08vcn2,"RMAN Online Hot Backup for oltp82",usurb21db08vcn2,/opt/oracle/scripts/wrappers/backup_oltp82_full.sh,CMD
mebpm_d_cordysvalidation_report_prod,"Cordys Validation Report",usfkl21as504v,/www/cordys/prod/ValidationReport/carrierfilereport.sh,CMD
mebpm_d_trusteevalidation_report_prod,"Cordys Trustee Validation Report",usfkl21as504v,/www/cordys/prod/TrusteeValidationReport/trusteefilereport.sh,CMD
mmstor_d_emea_dwh_ovm_snapshot,"Snapshot job-data and REDO LUNs",gbbed21as153,/usr/local/emc/scripts/create_snapshots_VMAX.sh 1114 GBBED21DB15VCL_Data_REP 2,CMD
mmstor_d_emea_dwh_ovm_snapshot_archive,"Snapshot job-FRA LUNs only (archive storage group)",gbbed21as153,/usr/local/emc/scripts/create_snapshots_VMAX.sh 1114 GBBED21DB15VCL_FRA_REP 2,CMD
mamsearch_d_Prodsolr_mcas_ar_init_node1,"new index mcas_ar init",usdfw21as384v,/opt/apps/batch/SolrImporterBatch2/bin/solr_batch.sh mcas_ar_12c init 5000,CMD
mamsearch_d_Prodsolr_mcas_ap_init_node1,"new index mcas_ap init",usdfw21as384v,/opt/apps/batch/SolrImporterBatch2/bin/solr_batch.sh mcas_ap_12c init 5000,CMD
gccat_d_win_sncoutputtfr_PRD,"Sanctions_Output_Distribution_GC_Prod_USFKL11WS389V",usfkl11ws389v,D\:\AutosysScript\GC.bat,CMD
maaes_d_win_nodejs_PROD,"Nodejs_appexe_PROD_USFKL11WS389V",usfkl11ws389v,D\:\EMS_deployment_07122019\ems-file-watcher-master@a505b030211\prod_strt.bat,CMD
mamway_d_marshwaybix_usprd1was01pga,"Runnning on marshwaybix job on autosys",usfkl21as78,/opt/sharedlib/usprd1waspga/applications/bixmway/onemarshbix.sh,CMD
pmmacc_r_tst_dmzautosys_usfkl21as78,"test autosys",usfkl21as78,/bin/date,CMD
mamway_d_marshwaybix_usprd1was02pga,"Runnning on marshwaybix job on autosys",usfkl21as95,/opt/sharedlib/usprd1waspga/applications/bixmway/onemarshbix.sh,CMD
pmmacc_r_tst_dmzautosys_usfkl21as95,"test autosys",usfkl21as95,/bin/date,CMD
pmmacc_r_tst_autosys_usfkl21as337vcn1,"test autosys",usfkl21as337vcn1,/bin/date,CMD
pmmacc_r_tst_autosys_usfkl21as337vcn1_elk,"test autosys",usfkl21as337vcn1,ls -al,CMD
pmmacc_r_tst_dmzautosys_usfkl11db11cn3,"test autosys",usfkl11db11cn3,C\:\windows\system32\ping 127.0.0.1,CMD
pmmacc_r_tst_dmzautosys_usfkl11db11cn3_kms,"test autosys",usfkl11db11cn3,C\:\windows\system32\ping 127.0.0.,CMD
meppa_d_Mkrt_UAT_CntrlFile_Setup,"Setup Control File on PPA UAT Server for Promote Process",usdfw12db29cn1,D\:\MSSQL\PPA_Mercer_Promote\BAT\PPA_Mkrt_UAT_CntrlFile_Setup.bat,CMD
meppa_d_Mkrt_Uat_restore,"Restore DB on PPA UAT Server for Promote Process",usdfw12db29cn1,D\:\MSSQL\PPA_Mercer_Promote\BAT\PPA_Mkrt_UAT_Restore.bat,CMD
pmaclev_d_win_start_PBE3Arch,"BE3 Archive Documents",gbbe11v0367,\\gbbed61ns9svm_ma_app_prod_vl414.mrshmc.com\ITN_Share\Cleva_Tomcat\Prod_Batches\Utility\pmaclev_d_win_start_BE3Arch.bat,CMD
pmaclev_d_win_start_PBE3EdtDif,"BE3 edition differee",gbbe11v0367,\\gbbed61ns9svm_ma_app_prod_vl414.mrshmc.com\ITN_Share\Cleva_Tomcat\Prod_Batches\Utility\pmaclev_d_win_start_BE3EdtDif.bat,CMD
mebwd_hotbk_dd_bwprod26,"RMAN Data Domain Hot backup for bwprod26 database",usdfw21db75vcn2,$BACKCYCSHELL/incr_backup_rman_data_domain bwprod26,CMD
mebwd_archbk_dd_bwprod26,"RMAN Data Domain backup for archive logs of bwprod26 database",usdfw21db75vcn2,$BACKCYCSHELL/archive_backup_rman_data_domain bwprod26,CMD
medba_gather_stats_bwprod25,"Job will gather stats for specific tables in bwprod25",usdfw21db75vcn3,$CYCSHELL/custom_gather_stats.csh,CMD
medba_gather_stats_weekend_bwprod25,"Job will gather stats for specific tables in bwprod25 with last_analyzed date > 7 days old",usdfw21db75vcn3,$CYCSHELL/custom_gather_stats_weekend.csh,CMD
