S.no,Wave,Job_name,Job_type,Box_name,Application,Application Owner,,,,
713110,Wave4,mmamsg_d_ev_apac_mel_start_index3b,CMD,mmamsg_d_ev_apac_start_box,mmamsg,  MGTI AP Messaging Support     ,A10,No,No,No
713111,Wave4,mmbkp_d_ev_apac_mel_index2_buclone,CMD,mmbkp_d_ev_apac_buclones,mmbkp,MGTI GL Backup Prod Support,A10,No,No,No
713112,Wave4,mmbkp_d_ev_apac_syd_index2_buclone,CMD,mmbkp_d_ev_apac_buclones,mmbkp,MGTI GL Backup Prod Support,A10,No,No,No
713113,Wave4,mmbkp_d_ev_apac_mel11bs13_mount,CMD,mmbkp_d_ev_apac_buclones,mmbkp,MGTI GL Backup Prod Support,A10,No,No,No
713114,Wave4,mmbkp_d_ev_apac_mel11bs13_unmount,CMD,mmbkp_d_ev_apac_buclones,mmbkp,MGTI GL Backup Prod Support,A10,No,No,No
713115,Wave4,mmbkp_d_ev_apac_syd11bs11_mount,CMD,mmbkp_d_ev_apac_buclones,mmbkp,MGTI GL Backup Prod Support,A10,No,No,No
713116,Wave4,mmbkp_d_ev_apac_syd11bs11_unmount,CMD,mmbkp_d_ev_apac_buclones,mmbkp,MGTI GL Backup Prod Support,A10,No,No,No
713117,Wave4,mmbkp_d_ev_apac_mel_index3_buclone,CMD,mmbkp_d_ev_apac_buclones,mmbkp,MGTI GL Backup Prod Support,A10,No,No,No
713118,Wave4,mmbkp_d_ev_apac_syd_index3_buclone,CMD,mmbkp_d_ev_apac_buclones,mmbkp,MGTI GL Backup Prod Support,A10,No,No,No
713119,Wave4,mmbkp_d_ev_apac_mel11bs14_mount,CMD,mmbkp_d_ev_apac_buclones,mmbkp,MGTI GL Backup Prod Support,A10,No,No,No
713120,Wave4,mmbkp_d_ev_apac_mel11bs14_unmount,CMD,mmbkp_d_ev_apac_buclones,mmbkp,MGTI GL Backup Prod Support,A10,No,No,No
713121,Wave4,mmbkp_d_ev_apac_syd11bs12_mount,CMD,mmbkp_d_ev_apac_buclones,mmbkp,MGTI GL Backup Prod Support,A10,No,No,No
713122,Wave4,mmbkp_d_ev_apac_syd11bs12_unmount,CMD,mmbkp_d_ev_apac_buclones,mmbkp,MGTI GL Backup Prod Support,A10,No,No,No
713123,Wave4,pacc_d_ev_apac_bkup_status_email_on_completion,CMD,,pacc,MGTI GL RlseMgt-Support,A10,No,No,No
713124,Wave4,mmemsg_d_ev_APAC_checkstart_box,BOX,,mmemsg,MGTI EUR MESSAGING,A10,No,No,No
713125,Wave4,mmemsg_d_ev_APAC_syd_checkstart_index3a,CMD,mmemsg_d_ev_APAC_checkstart_box,mmemsg,MGTI EUR MESSAGING,A10,No,No,No
